[2025-05-25 11:57:04] [ERROR] Could not find SSH auth logs
[2025-05-25 11:57:04] [ERROR] Could not find SSH auth logs
[2025-05-25 11:57:08] [INFO] No IPs currently blocked
[2025-05-25 11:57:12] [INFO] 🔍 Running all security scans...
[2025-05-25 11:57:12] [INFO] 
=== NETWORK SCAN ===
[2025-05-25 11:57:12] [INFO] Hostname: DESKTOP-EDKH6J0
[2025-05-25 11:57:12] [INFO] IP Address: 192.168.1.9
[2025-05-25 11:57:12] [INFO] 
=== PROCESS SCAN ===
[2025-05-25 11:57:12] [INFO] {'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process'}
[2025-05-25 11:57:13] [INFO] {'pid': 28148, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 29208, 'username': 'DESKTOP-EDKH6J0\\frknc', 'name': 'fsnotifier.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 29572, 'username': None, 'name': 'winlogon.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 29612, 'username': None, 'name': 'fontdrvhost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 30216, 'username': 'DESKTOP-EDKH6J0\\frknc', 'name': 'opera.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 30316, 'username': 'DESKTOP-EDKH6J0\\frknc', 'name': 'opera_crashreporter.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 30492, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 30908, 'username': 'DESKTOP-EDKH6J0\\frknc', 'name': 'ShellExperienceHost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 31512, 'username': 'DESKTOP-EDKH6J0\\frknc', 'name': 'SystemSettings.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 31760, 'username': None, 'name': 'SearchProtocolHost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 31940, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 33784, 'username': None, 'name': 'avp.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 33904, 'username': 'DESKTOP-EDKH6J0\\frknc', 'name': 'SystemSettingsBroker.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 33920, 'username': None, 'name': 'audiodg.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 33972, 'username': 'DESKTOP-EDKH6J0\\frknc', 'name': 'ONENOTEM.EXE'}
[2025-05-25 11:57:13] [INFO] {'pid': 34228, 'username': 'DESKTOP-EDKH6J0\\frknc', 'name': 'Razer Central.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 34484, 'username': 'DESKTOP-EDKH6J0\\frknc', 'name': 'opera.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 34672, 'username': 'DESKTOP-EDKH6J0\\frknc', 'name': 'FileCoAuth.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 34744, 'username': 'DESKTOP-EDKH6J0\\frknc', 'name': 'SecurityHealthSystray.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 34748, 'username': 'DESKTOP-EDKH6J0\\frknc', 'name': 'EncoderServer.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 35632, 'username': 'DESKTOP-EDKH6J0\\frknc', 'name': 'LockApp.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 36128, 'username': 'DESKTOP-EDKH6J0\\frknc', 'name': 'smartscreen.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 37244, 'username': 'DESKTOP-EDKH6J0\\frknc', 'name': 'embeddings-server.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 37300, 'username': 'DESKTOP-EDKH6J0\\frknc', 'name': 'explorer.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 37664, 'username': None, 'name': 'NVDisplay.Container.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 38032, 'username': 'DESKTOP-EDKH6J0\\frknc', 'name': 'conhost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 38352, 'username': 'DESKTOP-EDKH6J0\\frknc', 'name': 'RuntimeBroker.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 38416, 'username': None, 'name': 'csrss.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 38460, 'username': None, 'name': 'GCUService.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 38792, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 39104, 'username': 'DESKTOP-EDKH6J0\\frknc', 'name': 'vgtray.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 39428, 'username': 'DESKTOP-EDKH6J0\\frknc', 'name': 'opera.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 39760, 'username': 'DESKTOP-EDKH6J0\\frknc', 'name': 'opera.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 39968, 'username': 'DESKTOP-EDKH6J0\\frknc', 'name': 'nvsphelper64.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 40008, 'username': 'DESKTOP-EDKH6J0\\frknc', 'name': 'CefSharp.BrowserSubprocess.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 40188, 'username': 'DESKTOP-EDKH6J0\\frknc', 'name': 'conhost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 40196, 'username': 'DESKTOP-EDKH6J0\\frknc', 'name': 'RtkAudUService64.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 40212, 'username': 'DESKTOP-EDKH6J0\\frknc', 'name': 'ApplicationFrameHost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 40372, 'username': None, 'name': 'svchost.exe'}
